,importance
soil_type,2763.390741765499
irrigation_type,3787.0369599461555
region,3970.687070965767
water_source,4421.016457542777
season,5067.396113812923
crop_type,8568.335079818964
organic_carbon,28647.19464637339
sunlight_hours,30576.53319095075
previous_irrigation_mm,38849.18452259898
electrical_conductivity,43663.46580646932
soil_ph,44104.08310107887
field_area_hectare,47398.89930540323
humidity,48937.54298081994
rainfall_mm,527081.5406259745
wind_speed_kmh,552276.9765853882
mulching_used,570885.7395519018
crop_growth_stage,721678.9603530467
temperature_c,1062036.5054094046
soil_moisture,2077504.9229788035
